lat,lon,time,Total,Transformative,Incremental
48.77851868,-95.1315918,1,0.12990023,0.018512014,0.11138823
48.77851868,-94.86209106,1,0.18121964,0.03045062,0.15076903
48.77851868,-94.59259796,1,0.13064334,0.01523702,0.11540632
48.77851868,-94.32310486,1,0.17307693,0.115384616,0.057692308
48.50902557,-122.6200333,1,0.2232891,0.045914803,0.1773743
48.50902557,-122.3505402,1,0.16466118,0.12951235,0.03514883
48.50902557,-119.6555939,1,0.05048946,0.002070783,0.048418675
48.50902557,-118.3081207,1,0.18985952,0.16461809,0.02524144
48.50902557,-118.0386276,1,0.15969297,0.08427347,0.07541949
48.50902557,-117.7691345,1,0.017045455,0.005681818,0.011363637
48.50902557,-114.535202,1,0.123646505,0.040848084,0.08279842
48.50902557,-114.2657013,1,0.30532566,0.25710687,0.048218783
48.50902557,-112.9182281,1,0.06402521,0.029096272,0.034928937
48.50902557,-112.648735,1,0.17476723,0.05450707,0.12026016
48.50902557,-112.3792419,1,0.20562457,0.03418751,0.17143705
48.50902557,-112.1097488,1,0.28744975,0.070071265,0.21737847
48.50902557,-111.8402557,1,0.16698626,0.040535804,0.12645045
48.50902557,-111.570755,1,0.18132167,0.031097384,0.15022428
48.50902557,-111.3012619,1,0.29219595,0.04926198,0.24293396
48.50902557,-111.0317688,1,0.2013647,0.032672558,0.16869213
48.50902557,-110.7622757,1,0.13219441,0.03317732,0.0990171
48.50902557,-110.4927826,1,0.19951646,0.03658897,0.16292748
48.50902557,-110.2232819,1,0.16638818,0.046171393,0.12021679
48.50902557,-109.9537888,1,0.17334208,0.07202381,0.10131827
48.50902557,-109.6842957,1,0.1405854,0.08910852,0.051476873
48.50902557,-109.4148026,1,0.14476724,0.09341563,0.05135161
48.50902557,-109.1453094,1,0.14538985,0.08600816,0.059381694
48.50902557,-108.8758087,1,0.10838291,0.05029408,0.058088835
48.50902557,-108.6063156,1,0.10118186,0.032402746,0.06877911
48.50902557,-108.3368225,1,0.23824939,0.05283379,0.1854156
48.50902557,-108.0673294,1,0.17874333,0.031408496,0.14733484
48.50902557,-107.7978363,1,0.26681155,0.076840416,0.18997115
48.50902557,-107.5283432,1,0.16395532,0.035445303,0.12851001
48.50902557,-107.2588425,1,0.15216629,0.035916742,0.116249554
48.50902557,-106.9893494,1,0.14755298,0.039178923,0.10837406
48.50902557,-106.7198563,1,0.08376654,0.04269667,0.04106987
48.50902557,-106.4503632,1,0.13641621,0.0476931,0.08872312
48.50902557,-106.1808701,1,0.21234952,0.065639265,0.14671025
48.50902557,-105.9113693,1,0.1941085,0.036767475,0.15734102
48.50902557,-105.6418762,1,0.10668198,0.029065713,0.07761627
48.50902557,-105.3723831,1,0.13097493,0.03708575,0.093889184
48.50902557,-105.10289,1,0.17622264,0.051370833,0.1248518
48.50902557,-104.8333969,1,0.15855703,0.0549034,0.10365363
48.50902557,-104.5638962,1,0.14799902,0.027155668,0.12084334
48.50902557,-104.2944031,1,0.19330722,0.04489187,0.14841534
48.50902557,-104.02491,1,0.2596953,0.030012308,0.22968298
48.50902557,-103.7554169,1,0.22876552,0.039406564,0.18935896
48.50902557,-103.4859238,1,0.27971792,0.035223804,0.24449413
48.50902557,-103.216423,1,0.31669495,0.027547833,0.2891471
48.50902557,-102.9469299,1,0.28278434,0.027239976,0.25554436
48.50902557,-102.6774368,1,0.24878962,0.028687483,0.22010215
48.50902557,-102.4079437,1,0.15305477,0.014662478,0.1383923
48.50902557,-102.1384506,1,0.17057787,0.011614709,0.15896316
48.50902557,-101.8689499,1,0.15805599,0.016637033,0.14141896
48.50902557,-101.5994568,1,0.15495625,0.021029714,0.13392654
48.50902557,-101.3299637,1,0.09818711,0.006606871,0.09158024
48.50902557,-101.0604706,1,0.175025,0.010163869,0.16486113
48.50902557,-100.7909775,1,0.145173,0.013507217,0.13166578
48.50902557,-100.5214767,1,0.18177858,0.011044619,0.17073396
48.50902557,-100.2519836,1,0.09380212,0.007101144,0.08670097
48.50902557,-99.98249054,1,0.089141674,0.007013556,0.082128115
48.50902557,-99.71299744,1,0.061462045,0.005408978,0.05605307
48.50902557,-99.44350433,1,0.109076664,0.016276268,0.0928004
48.50902557,-99.1740036,1,0.097278215,0.012924213,0.084354
48.50902557,-98.9045105,1,0.08200902,0.007443454,0.07456557
48.50902557,-98.6350174,1,0.1038025,0.014849288,0.08895321
48.50902557,-98.36552429,1,0.1224438,0.022455156,0.09998865
48.50902557,-98.09603119,1,0.12432187,0.008100516,0.11622135
48.50902557,-97.82653809,1,0.11648467,0.002735336,0.11374934
48.50902557,-97.55703735,1,0.11958039,0.005297985,0.1142824
48.50902557,-97.28754425,1,0.102445014,0.007186511,0.0952585
48.50902557,-97.01805115,1,0.097041324,0.003048947,0.093992375
48.50902557,-96.74855804,1,0.10274824,0.015796013,0.086952224
48.50902557,-96.47906494,1,0.08936437,0.043521382,0.045842994
48.50902557,-96.20956421,1,0.06727498,0.018824043,0.048450936
48.50902557,-95.94007111,1,0.04414171,0.008683397,0.03545831
48.50902557,-95.670578,1,0.120927975,0.04428736,0.07664061
48.50902557,-94.86209106,1,0.43882397,0.006117604,0.43270636
48.50902557,-94.59259796,1,0.18433373,0.07466987,0.10966387
48.23953247,-122.6200333,1,0.25240615,0.0406641,0.21174206
48.23953247,-122.3505402,1,0.13545817,0.013944224,0.12151395
48.23953247,-120.1945877,1,0.01608911,0.003094059,0.012995049
48.23953247,-119.925087,1,0.046782408,0.005693227,0.04108918
48.23953247,-119.6555939,1,0.079459235,0.002863731,0.07659551
48.23953247,-119.3861008,1,0.004995778,0.001266535,0.003729243
48.23953247,-118.3081207,1,0.051414374,0.04109327,0.010321101
48.23953247,-118.0386276,1,0.10705501,0.04751789,0.05953712
48.23953247,-117.7691345,1,0.15443991,0.07074509,0.08369482
48.23953247,-114.535202,1,0.17141305,0.06362319,0.10778985
48.23953247,-114.2657013,1,0.15011476,0.05883703,0.09127773
48.23953247,-112.9182281,1,0.27722797,0.028432982,0.248795
48.23953247,-112.648735,1,0.17386162,0.034037083,0.13982454
48.23953247,-112.3792419,1,0.13804065,0.017506825,0.12053383
48.23953247,-112.1097488,1,0.17559463,0.039320752,0.13627388
48.23953247,-111.8402557,1,0.14545731,0.015355451,0.13010187
48.23953247,-111.570755,1,0.19238317,0.039292384,0.15309079
48.23953247,-111.3012619,1,0.24397647,0.05758422,0.18639226
48.23953247,-111.0317688,1,0.33428696,0.058999933,0.27528703
48.23953247,-110.7622757,1,0.28494534,0.059460204,0.22548515
48.23953247,-110.4927826,1,0.28129658,0.018929746,0.26236683
48.23953247,-110.2232819,1,0.2156127,0.05664396,0.15896873
48.23953247,-109.9537888,1,0.16294944,0.061030008,0.101919435
48.23953247,-109.6842957,1,0.03598581,0.024075013,0.011910796
48.23953247,-109.4148026,1,0.11517364,0.1081689,0.007004736
48.23953247,-109.1453094,1,0.11882135,0.04019169,0.078629665
48.23953247,-108.8758087,1,0.10162605,0.018500429,0.08312562
48.23953247,-108.6063156,1,0.18074918,0.040009066,0.14074011
48.23953247,-108.3368225,1,0.24145515,0.06638669,0.17506847
48.23953247,-108.0673294,1,0.2517567,0.051974516,0.19978218
48.23953247,-107.7978363,1,0.18602078,0.032096885,0.1539239
48.23953247,-107.5283432,1,0.36090404,0.1955094,0.16539463
48.23953247,-106.9893494,1,0.083585374,0.020199962,0.06338541
48.23953247,-106.7198563,1,0.1485999,0.027590375,0.12100952
48.23953247,-106.4503632,1,0.14114022,0.037979536,0.103160694
48.23953247,-106.1808701,1,0.25226733,0.028099442,0.2241679
48.23953247,-105.9113693,1,0.11703293,0.025043922,0.09198901
48.23953247,-105.6418762,1,0.09974321,0.04054363,0.05919958
48.23953247,-105.3723831,1,0.17417553,0.036760997,0.13741453
48.23953247,-105.10289,1,0.16514675,0.046467625,0.11867913
48.23953247,-104.8333969,1,0.13926268,0.03144832,0.10781435
48.23953247,-104.5638962,1,0.12453182,0.037730265,0.08680156
48.23953247,-104.2944031,1,0.20428509,0.033800177,0.1704849
48.23953247,-104.02491,1,0.24908279,0.037074722,0.21200806
48.23953247,-103.7554169,1,0.23719224,0.070161805,0.16703044
48.23953247,-103.4859238,1,0.18340607,0.025250955,0.15815511
48.23953247,-103.216423,1,0.29651326,0.032458406,0.26405486
48.23953247,-102.9469299,1,0.21782905,0.02684355,0.1909855
48.23953247,-102.6774368,1,0.24663025,0.03723361,0.20939663
48.23953247,-102.4079437,1,0.21692306,0.015615003,0.20130806
48.23953247,-102.1384506,1,0.20219713,0.022265743,0.1799314
48.23953247,-101.8689499,1,0.17895201,0.021414783,0.15753722
48.23953247,-101.5994568,1,0.16311362,0.007769493,0.15534413
48.23953247,-101.3299637,1,0.1294105,0.010648719,0.118761785
48.23953247,-101.0604706,1,0.11703231,0.01230103,0.10473128
48.23953247,-100.7909775,1,0.09466839,0.006876068,0.08779232
48.23953247,-100.5214767,1,0.122528374,0.004779883,0.11774849
48.23953247,-100.2519836,1,0.07482465,0.011532094,0.06329256
48.23953247,-99.98249054,1,0.081660755,0.005933078,0.07572767
48.23953247,-99.71299744,1,0.086248465,0.011219422,0.07502904
48.23953247,-99.44350433,1,0.08940383,0.019298965,0.07010487
48.23953247,-99.1740036,1,0.13816108,0.018902896,0.11925818
48.23953247,-98.9045105,1,0.108050965,0.025499012,0.08255195
48.23953247,-98.6350174,1,0.11651464,0.02091373,0.0956009
48.23953247,-98.36552429,1,0.122302994,0.016617248,0.10568575
48.23953247,-98.09603119,1,0.11659654,0.013650881,0.10294566
48.23953247,-97.82653809,1,0.13293627,0.024358002,0.108578265
48.23953247,-97.55703735,1,0.1381384,0.016591128,0.12154727
48.23953247,-97.28754425,1,0.069068804,0.007742142,0.061326664
48.23953247,-97.01805115,1,0.06480701,0.007977393,0.056829616
48.23953247,-96.74855804,1,0.0838676,0.014319638,0.069547966
48.23953247,-96.47906494,1,0.08516026,0.027523762,0.0576365
48.23953247,-96.20956421,1,0.08836712,0.027139783,0.06122734
48.23953247,-95.94007111,1,0.06807012,0.008667801,0.059402317
48.23953247,-95.670578,1,0.05385775,0.014606243,0.039251506
48.23953247,-95.4010849,1,0.29094827,0.002155172,0.28879312
48.23953247,-94.86209106,1,0.16532259,0.124423966,0.040898617
48.23953247,-94.59259796,1,0.09158483,0.031778507,0.05980633
47.97003555,-120.1945877,1,0.000366928,0.000244618,0.000122309
47.97003555,-119.925087,1,0.054764457,0.00021744,0.05454702
47.97003555,-119.6555939,1,0.060281664,0.000136698,0.060144965
47.97003555,-119.3861008,1,0.01180653,0.000907317,0.010899214
47.97003555,-119.1166077,1,0.058929823,0.005853018,0.053076807
47.97003555,-118.8471146,1,0.05060643,0.008913013,0.041693415
47.97003555,-118.5776138,1,0.002910765,0.000573654,0.002337111
47.97003555,-118.3081207,1,0.06541105,0.017246356,0.048164696
47.97003555,-118.0386276,1,0.22495691,0.051758014,0.1731989
47.97003555,-117.7691345,1,0.32202992,0.073557615,0.24847229
47.97003555,-117.4996414,1,0.19242013,0.053390555,0.13902956
47.97003555,-117.2301483,1,0.08138298,0.002659574,0.0787234
47.97003555,-116.9606476,1,0.030197892,0.011051144,0.01914675
47.97003555,-114.8046951,1,0.004541864,0.001777251,0.002764613
47.97003555,-112.648735,1,0.21420272,0.11212309,0.10207962
47.97003555,-112.3792419,1,0.18698649,0.074998975,0.11198752
47.97003555,-112.1097488,1,0.23383307,0.09163851,0.14219455
47.97003555,-111.8402557,1,0.13480896,0.02315605,0.11165291
